s,p,o
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://gryps.io/KnowledgeGraph.owl#Class/File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasName,M00099247C.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,DOB BIS
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/Building/DOB_BIS/1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,CO 099247
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/25fb238d677abc4c8fffa08adaf00d9b.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredBuildingNumber,1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredFileExtensionType,Document
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1023449&passcofonumber=M000099247.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=099000&cofomatadata5=M000099247.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredEntityType,File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasFileExtension,pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasContextDate,2025-01-25T00:23:17.313Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasMetadataDate,2025-01-25T00:17:46.393Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsCollection,Files
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasEmbeddingDate,2025-01-25T00:29:05.782Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSize,0.0
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1023449&passcofonumber=M000099247.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=099000&cofomatadata5=M000099247.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20099247,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/25fb238d677abc4c8fffa08adaf00d9b.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://gryps.io/KnowledgeGraph.owl#Class/File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasName,M000016595.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,DOB BIS
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/Building/DOB_BIS/1036156
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,CO 16595
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2025-01-23T17:47:49.232Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/337cd59d605fdb26d22f7467910232eb.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredBuildingNumber,1036156
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredFileExtensionType,Document
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsUpdatedAt,2025-01-23T17:47:49.232Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1036156&passcofonumber=M000016595.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=016000&cofomatadata5=M000016595.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredEntityType,File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasFileExtension,pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasContextDate,2025-01-25T00:23:17.313Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasMetadataDate,2025-01-25T00:17:46.393Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsCollection,Files
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasEmbeddingDate,2025-01-25T00:28:59.606Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSize,0.0
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1036156&passcofonumber=M000016595.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=016000&cofomatadata5=M000016595.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2016595,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/337cd59d605fdb26d22f7467910232eb.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://gryps.io/KnowledgeGraph.owl#Class/File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasName,M00097966A.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,DOB BIS
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/Building/DOB_BIS/1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,CO 097966
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/28caf4d5cb96ef83e87b7772e99a2c7e.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredBuildingNumber,1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredFileExtensionType,Document
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1023449&passcofonumber=M000097966.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=097000&cofomatadata5=M000097966.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredEntityType,File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasFileExtension,pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasContextDate,2025-01-25T00:23:17.313Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasMetadataDate,2025-01-25T00:17:46.393Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsCollection,Files
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasEmbeddingDate,2025-01-25T00:28:58.647Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSize,0.0
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1023449&passcofonumber=M000097966.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=097000&cofomatadata5=M000097966.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20097966,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/28caf4d5cb96ef83e87b7772e99a2c7e.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://gryps.io/KnowledgeGraph.owl#Class/File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasName,M000090565.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,DOB BIS
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/Building/DOB_BIS/1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,CO 90565 TEMP
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/0fd8e0a2671028e76b868b7a27e1fd40.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredBuildingNumber,1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredFileExtensionType,Document
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1023449&passcofonumber=M000090565.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=090000&cofomatadata5=M000090565.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredEntityType,File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasFileExtension,pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasContextDate,2025-01-25T00:23:17.313Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasMetadataDate,2025-01-25T00:17:46.393Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsCollection,Files
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasEmbeddingDate,2025-01-25T00:28:55.571Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSize,0.0
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceLink,https://a810-bisweb.nyc.gov/bisweb/CofoDocumentContentServlet?bin=1023449&passcofonumber=M000090565.PDF&requestid=0&cofomatadata1=COFO&cofomatadata2=M&cofomatadata3=000&cofomatadata4=090000&cofomatadata5=M000090565.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%2090565%20TEMP,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/0fd8e0a2671028e76b868b7a27e1fd40.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://gryps.io/KnowledgeGraph.owl#Class/File
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasName,M000008692.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,DOB BIS
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/Building/DOB_BIS/1023449
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,CO 8692
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2025-01-23T18:10:12.244Z
https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%208692,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/5487094217e7b79022a2306121830006.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,Autodesk Construction Cloud
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/File/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,urn:adsk.wipprod:dm.lineage:uchIPnsHW9uH-0GdwspE5A
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2024-08-27T02:17:16.285+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=autodesk/0dabd2e1333f473114b48412e0d7180b.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredFileExtensionType,Document
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsUpdatedAt,2024-08-27T02:17:16.285+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredSourceLink,https://acc.autodesk.com/build/files/projects/62f7268a-6874-4eec-b92a-f166828de0f7?entityId=urn:adsk.wipprod:dm.lineage:uchIPnsHW9uH-0GdwspE5A&viewModel=detail
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredEntityType,File
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasFileExtension,pdf
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasContextDate,2025-01-25T00:23:17.313+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/isInferredCreatedOn,2024-05-27T22:32:31.000+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasPageNumber,1
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasMetadataDate,2025-01-25T00:17:46.393+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsCollection,Files
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasEmbeddingDate,2025-01-25T00:29:03.554+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSize,1.0
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceLink,https://acc.autodesk.com/build/files/projects/62f7268a-6874-4eec-b92a-f166828de0f7?entityId=urn:adsk.wipprod:dm.lineage:uchIPnsHW9uH-0GdwspE5A&viewModel=detail
https://gryps.io/KnowledgeGraph.owl#Individual/Page/ACC/urn%3Aadsk.wipprod%3Adm.lineage%3AuchIPnsHW9uH-0GdwspE5A/page_1,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredGrypsLink,https://demo.gryps.io/#/documents?key=autodesk/0dabd2e1333f473114b48412e0d7180b.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://gryps.io/KnowledgeGraph.owl#Class/Page
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasName,(Page 2) M00095221C.PDF
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasSourceSystem,DOB BIS
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#ObjectProperty/isAssociatedWith,https://gryps.io/KnowledgeGraph.owl#Individual/File/DOB_BIS/CO%20095221
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasID,CO 095221
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsUpdatedAt,2025-01-23T18:10:12.244+00:00
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasGrypsLink,https://demo.gryps.io/#/documents?key=dob_bis/596da1871d66202fd5bf63b3806b4596.pdf
https://gryps.io/KnowledgeGraph.owl#Individual/Page/DOB_BIS/CO%20095221/page_2,https://gryps.io/KnowledgeGraph.owl#DataProperty/hasInferredBuildingNumber,1023449
